X,Y,Sample,RobotId
208.46,86.451,1.3818,1
484.76,243.8,0.55664,2
177.92,157.11,1.4307,1
630.07,124.7,0.54688,2
80.049,99.719,1.1377,1
457.25,256.79,0.52246,2
163.36,85.972,1.2305,1
606.04,143.38,0.45898,2
97.37,170.53,1.2842,1
574.44,182.56,0.54199,2
253.52,257.21,1.3428,1
426.23,266.17,0.54199,2
130.48,198.5,1.2646,1
427.83,272.1,0.53711,2
128.5,201.21,1.1914,1
701.02,87.462,0.43457,2
307.87,173.27,1.04,1
490.7,172.24,0.41504,2
310.69,164.79,1.04,1
474.49,226.89,0.40039,2
237.05,133.73,1.3477,1
665.81,105.89,0.44434,2
347.32,170.66,0.95703,1
552.95,209.27,0.49316,2
158.66,96.102,1.3818,1
539.04,221.08,0.53711,2
92.944,84.946,1.167,1
469.46,120.27,0.30273,2
203.29,119.94,1.4258,1
317.72,178.37,0.6543,2
199.46,103.09,1.4404,1
510.52,180.94,0.42969,2
103.24,85.623,1.333,1
508.76,161.57,0.4248,2
50.026,249.62,0.97168,1
639.28,164.65,0.4248,2
301.93,227.1,1.167,1
389.17,220.73,0.52246,2
315.4,204.36,0.86426,1
550.14,120.31,0.35645,2
334.69,116.1,0.98633,1
585.44,198.02,0.5127,2
290.44,214.54,0.90332,1
460.79,240.81,0.49316,2
